date,year,month,day,od_pair,market_country,dest_country,pax,seats_capacity,n_flights,censored_flights,naive_total_est,em_total_est,pd01_total_est,pd03_total_est,pd05_total_est,pd07_total_est,pd09_total_est
2015-01-06,2015,1,6,KR→US,KR,US,962,1614,5,0,962.0,962.0,962.0,962.0,962.0,962.0,962.0
2015-01-06,2015,1,6,SG→US,SG,US,614,934,4,0,614.0,614.0,614.0,614.0,614.0,614.0,614.0
2015-01-06,2015,1,6,TW→US,TW,US,673,1308,4,0,673.0,673.0,673.0,673.0,673.0,673.0,673.0
2015-01-07,2015,1,7,AE→US,AE,US,729,982,2,0,729.0,729.0,729.0,729.0,729.0,729.0,729.0
2015-01-07,2015,1,7,AU→US,AU,US,2633,3327,10,1,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0
2015-01-07,2015,1,7,CN→CA,CN,CA,324,516,2,0,324.0,324.0,324.0,324.0,324.0,324.0,324.0
2015-01-07,2015,1,7,CN→US,CN,US,1939,2700,8,0,1939.0,1939.0,1939.0,1939.0,1939.0,1939.0,1939.0
2015-01-07,2015,1,7,DE→US,DE,US,195,396,1,0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
2015-01-07,2015,1,7,GB→US,GB,US,372,702,2,0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
2015-01-07,2015,1,7,HK→CA,HK,CA,448,792,2,0,448.0,448.0,448.0,448.0,448.0,448.0,448.0
2015-01-07,2015,1,7,HK→US,HK,US,421,702,2,0,421.0,421.0,421.0,421.0,421.0,421.0,421.0
2015-01-07,2015,1,7,JP→CA,JP,CA,307,516,2,0,307.0,307.0,307.0,307.0,307.0,307.0,307.0
2015-01-07,2015,1,7,JP→US,JP,US,2103,2712,9,4,2103.0,2103.0,2103.0,2103.0,2103.0,2103.0,2103.0
2015-01-07,2015,1,7,KR→CA,KR,CA,229,516,2,0,229.0,229.0,229.0,229.0,229.0,229.0,229.0
2015-01-07,2015,1,7,KR→US,KR,US,1126,1614,5,0,1126.0,1126.0,1126.0,1126.0,1126.0,1126.0,1126.0
